station_name,station_city,station_geopos,station_capacity,station_id
Harraca Springs Road,Los Angeles,34.1783348494717::-119.0243685321495,13,1075
353 Linwood Street,New York,40.69836810637785::-73.71248551639086,7,926
Mansell Street,San Francisco,37.74765868086562::-122.4307026791504,7,616
Dodson Street,Los Angeles,34.08078957504966::-119.0301028428345,19,2237
Leffingwell Road,Los Angeles,33.93340405942632::-118.0475768498025,16,2766
Whippoorwill Isle North,Seattle,47.76758124240692::-122.3716249783323,7,851
925 Larkin Street,San Francisco,37.78128658929302::-122.5094903362634,31,2788
West 9th Lane,Miami,26.30695021569828::-80.08393337840494,32,2647
Palm Ridge Boulevard,Seattle,26.64845918722085::-80.25931119935512,7,2314
Big Fossil,Dallas,32.83908485804652::-96.70504042900946,7,1496
West Trinity Boulevard,Dallas,32.89022525024363::-96.88162152535851,7,3476
West Walnut Hill Lane,Dallas,32.82721956464103::-96.95819606522457,18,3196
Southeast Kent Kangley Road,Seattle,47.63677627660405::-122.2098763071197,30,634
Clinton Street Tower,Chicago,41.91554780852464::-87.66798358693676,7,2170
Executive Drive,San Francisco,37.74951740953815::-122.3816883795725,29,898
Northeast 120th Place,Seattle,47.65259716670934::-122.3779275517164,8,3474
West Gross Point Road,Chicago,41.87451427491458::-87.73779480598417,13,671
,Miami,26.48899018445209::-80.07720626733719,41,2954
834B Metcalf Avenue,New York,40.66808800389779::-73.86418813171959,38,431
Spanish River Community High School,Miami,26.704781655485::-80.21052758649292,25,812
30th Avenue,San Francisco,37.75186150343321::-122.4817869871302,25,425
Dancing Crane Cafe,New York,40.77193023861776::-73.86175598026612,5,2270
Singleton Boulevard,Dallas,32.98750209011776::-96.80883107607843,37,1961
North Elston Avenue,Chicago,41.82192308547133::-87.69140150658664,15,575
Pagewynne Drive,Dallas,32.75956773599289::-97.02972867027903,19,332
Southeast 143rd Place,Seattle,47.68967585326404::-122.2979152678047,7,266
Saint Jane Frances School,Los Angeles,33.80595678112911::-118.2372229663699,38,3272
Quickstep Lane,San Francisco,37.792737481243::-122.4416521700506,1,2823
Wiles Road,Miami,26.57513504833521::-80.091288562914,28,2571
83-35 252nd Street,New York,40.84141976069067::-73.86768629000564,19,2889
Coombs Creek Drive,Dallas,32.88253524211397::-96.65452426030461,7,2831
Greenwich Street,San Francisco,37.77832375297979::-122.4917108149532,7,40
Palm Avenue,Los Angeles,34.29788970812271::-118.7337489508232,2,2569
North Lakewood Avenue,Chicago,41.91527054955761::-87.72979570876228,7,1020
Farm-to-Market Road 2931,Dallas,33.02259890641743::-96.78650314251907,7,349
Bulldog Motorway,Los Angeles,34.25351689325434::-118.5386760133846,6,1739
2715 Throop Avenue,New York,40.67985044680368::-73.94910594094077,21,2595
Golden Gate Park Golf Course,San Francisco,37.732233057889::-122.4554280018779,21,1772
North Deer Drive,Seattle,47.460089459054::-122.2232604418846,7,3495
Guadalupe Canyon Parkway,San Francisco,37.70540814303826::-122.4884507320667,50,2298
Sunny Isles Boulevard,Miami,26.307801864745::-80.14276618312564,21,1059
Flushing Bay,New York,40.7338055350995::-73.78485504202324,5,1230
South Hoyne Avenue,Chicago,41.98194378962405::-87.68295066802217,7,1719
1100 Southwest Massachusetts Street,Seattle,47.76910524453509::-122.3557668813133,28,992
Muni Metro / Twin Peaks Tunnel,San Francisco,37.7972067775704::-122.4129289637017,7,544
Evanston Avenue North,Seattle,26.71530755982349::-80.09727253705664,7,3629
San Diego Drive,Dallas,32.78946261944458::-96.72194020427438,25,2523
Forest Hill Boulevard,Miami,25.73507592092451::-80.35821731371024,19,98
Lubao Avenue,Los Angeles,33.93921856315465::-117.9711374979701,7,3445
41st Avenue Southwest,Seattle,47.75186949956732::-122.3340582480107,9,2950
Easy Street,Dallas,32.70792396358193::-96.65634704868523,25,1108
3455 Conner Street,New York,40.83966945757764::-73.87949354626799,7,2445
West Highland Drive,Los Angeles,33.86244529416271::-118.3040603700706,2,876
Northwest 9th Avenue,Miami,26.21003325468173::-80.16361755611905,59,899
Fremont Avenue North,Seattle,47.74404599469425::-122.2170166025304,34,2064
Spruce St & Nassau St,New York,,30,3
Military Road South,Seattle,26.86724732094835::-80.09266553160963,7,1085
8301 28th Avenue Northeast,Seattle,47.65658525389773::-122.3993026432242,25,2410
Battery Caulfield Road,San Francisco,37.76052612142761::-122.4310498632708,29,1268
South 61st Avenue,Chicago,42.01388426713139::-87.66153057142282,20,730
76th Avenue West,Seattle,47.64569228351926::-122.3460149249995,26,944
Wild Asia Monorail,New York,40.69122525981376::-73.78279730876895,7,341
Southwest 89th Street,Seattle,47.31062561576394::-122.2502130862286,46,2479
Traffic Avenue,New York,40.67846435405853::-73.93155208336984,7,1111
Oakwood Avenue,Chicago,41.85073642199341::-87.73100388863244,15,1834
181 East 93rd Street,New York,40.72169924190298::-73.86120563563887,7,3519
North Cottonwood Valley Circle,Dallas,33.04840781874966::-96.85792860057262,9,2710
North Branch Trail,Chicago,41.89760046662704::-87.69823456896981,7,3735
26th Avenue,San Francisco,37.74357741086235::-122.4664404658149,20,620
Presidio Golf Course,San Francisco,37.74699712201885::-122.4754942592847,7,1451
4635-4637 North Paulina Street,Chicago,41.92814561665497::-87.67156720632256,33,1669
Palm Avenue,Miami,26.09632716703651::-80.37811726931098,20,3469
Hialeah Way,Los Angeles,33.93611901270403::-118.1247028433866,7,3691
Southwest 112th Street,Seattle,47.69449101789109::-122.1330244512076,34,3123
117-03 Long Street,New York,40.73087171138179::-73.90479801533648,7,2127
Circle Drive,Chicago,41.84855967308543::-87.75393140652149,7,1731
Northwest 76th Avenue,Miami,26.27775976543079::-80.30261049063448,7,1723
Cesar Chavez Street,San Francisco,37.80730071160667::-122.4706267606447,37,144
6122 North Mozart Street,Chicago,41.86201574765878::-87.72441044372117,23,1359
Lago Mar Resort and Club,Miami,26.2366010688677::-80.15892807076304,17,2165
Grand Avenue,San Francisco,37.77618966987198::-122.3944737403808,47,1917
8815 Densmore Avenue North,Seattle,47.76133147278641::-122.2358448906538,7,1530
Balboa Street,San Francisco,37.66082152830332::-122.4296177058113,18,980
Stearman Court,Denver,40.02804724534999::-104.9406308086336,16,224
112th Avenue Northeast,Seattle,47.48057059096022::-122.2762090306187,18,2587
Union Pacific Railroad,San Francisco,37.80191751192833::-122.421315213646,7,3150
North Westmoreland Road,Dallas,32.96770220239898::-96.78808099848638,53,3172
North Drury Lane,Chicago,42.01202780202498::-87.77026172643511,27,3559
Albertson Motorway,Los Angeles,34.13944271905714::-118.8919522344548,24,1631
Twin Peaks Boulevard,San Francisco,37.75008101726791::-122.4094219079496,7,2091
Parkside Drive,Chicago,41.96871148932354::-87.65557791099441,13,2637
Maple Valley Highway,Seattle,47.47422716186452::-122.1469660837022,19,2248
Southwest 14th Terrace,Miami,25.75302341665853::-80.33075390035222,7,2715
Rosecrans Avenue,Los Angeles,33.93921856315465::-117.9711374979701,7,1430
149-23 16th Road,New York,40.66253972885031::-73.72328224415787,8,3285
La Brea Avenue,Los Angeles,34.20650471216367::-118.4509051841165,7,913
BMT Canarsie Line,New York,40.61169404215487::-73.96374860910474,54,3302
Oak Street,San Francisco,37.73334149798571::-122.484754188832,30,1097
North Miami Post Office,Miami,26.43229508050182::-80.16816289916439,7,792
Underhill Avenue,New York,40.58349806580071::-73.95607251313518,7,345
204th Street South,Seattle,47.68525899435529::-122.3930895327168,8,1997
West Sunrise Boulevard,Miami,26.03988066047707::-80.30776214701881,50,2178
Northeast 67th Place,Seattle,47.42516088352844::-122.272258508406,30,2531
59-15 Woodbine Street,New York,40.77183296745375::-73.67593772963399,28,2230
Kenrich Court,Los Angeles,34.07821352924617::-118.81491224575,23,2146
3208 33rd Avenue West,Seattle,47.3121461697041::-122.2485652502188,10,507
Carnation Avenue,New York,40.63861438159763::-73.93390236202507,8,1223
Hillsboro Boulevard,Miami,25.58468976631415::-80.3537315290216,7,2408
Crystal Creek Drive,Dallas,32.94683274003427::-96.68488027402701,10,559
Knottywood Lane,Miami,26.58324980843948::-80.16771742102135,7,482
,Miami,26.8779096722459::-80.08205499237228,32,1344
Hummingbird Court,Dallas,33.01945998149534::-96.64239467938965,45,1736
Graham Avenue,New York,40.77082157765132::-73.91616150263171,20,2577
Lakefront Trail,Chicago,41.96269887778946::-87.7305670075649,31,1063
Pier 47,San Francisco,37.71172804593084::-122.4560763425747,51,569
20th Avenue,San Francisco,37.76916615205488::-122.406354444111,20,2700
25-48 48th Street,New York,40.78571145275365::-73.75973053620238,9,2549
Northwest 57th Avenue/Red Road,Miami,26.17415135086907::-80.09696693534917,29,789
Newmire Avenue,Los Angeles,34.17257724219453::-118.8887580141538,7,213
Park Boulevard Trail,San Francisco,37.73859971761946::-122.4498381015606,26,2857
Erringer Road,Los Angeles,34.40339297860244::-118.7115056207243,7,1227
South Halsted Street,Chicago,41.9436059292289::-87.73101068153839,43,1215
112 South Lucile Street,Seattle,25.78359230850558::-80.18075687698017,35,2123
Los Angeles River Bike Route,Los Angeles,34.16405331292133::-118.9153899495471,38,2326
57-13 66th Street,New York,40.65925117182598::-73.80812395321617,19,3373
Whitewood Avenue,Los Angeles,34.21728159833312::-118.4748552884062,26,1589
Garden Grove Avenue,Los Angeles,34.1137225813245::-118.1258511825667,41,3603
Leffingwell Road,Los Angeles,34.14339061350873::-118.8838897732123,3,2033
9008 Ditmas Avenue,New York,40.65983390862713::-73.90437534326011,7,505
Freewood Drive,Dallas,32.8575528198618::-96.78341186102097,16,56
Holy Name School,San Francisco,37.78117255721925::-122.452003963361,7,693
Randi Avenue,Los Angeles,34.20660194964608::-118.6625780485586,22,3419
54th Street,New York,40.77101490148356::-73.8930231316519,7,1216
Southwest 77th Avenue,Miami,25.63124171806049::-80.3668390655738,7,3316
South 2nd Avenue,Chicago,42.10598751156228::-88.03102966506209,26,2284
Santa Susana Pass Road,Los Angeles,34.03414985638658::-118.3177798554438,7,1537
Southeast 15th Street,Miami,25.87136449204271::-80.28477335045203,29,1358
West Eastman Street,Chicago,41.99225805193017::-87.69179011775684,7,632
Holcomb Road,Dallas,32.68340512533728::-96.81233697138823,7,1115
Church Street,San Francisco,37.79147274832057::-122.4161874515613,7,74
1623 East 28th Street,New York,40.74251355572656::-73.91163569817844,16,1224
Coconut Road,Miami,26.45938331653516::-80.12979694421882,22,2348
BNSF Corwith Intermodel Facility,Chicago,42.00489664067837::-87.72294627170653,7,1337
Country Valley Road,Los Angeles,34.01674772711446::-118.2892702765502,23,599
26th Street Northeast,Seattle,47.6535687783355::-122.2957629979935,7,2860
109th Avenue Southeast,Seattle,26.25585955118311::-80.23318687044839,7,3489
Hilton Head Drive,Dallas,33.2201990380998::-96.93955498892747,24,611
5114 7th Avenue,New York,40.61700063090732::-73.99272544608036,31,1463
North Clybourn Avenue,Chicago,41.99446433723547::-87.69635421459409,55,1618
Allston Way,San Francisco,37.73110006419379::-122.4567683002898,32,2388
Moorpark Coll,Los Angeles,34.0175513825583::-118.085142629476,7,3605
Randi Avenue,Los Angeles,34.13180546668097::-118.6686790041534,23,3349
Temescal Canyon Road,Los Angeles,33.97076974828506::-118.0254399737085,2,2238
4268 Legacy Drive,Dallas,32.88885976461013::-97.24238371460699,7,1570
Lincoln Way,San Francisco,37.80120589079262::-122.4122044349653,14,1815
Northwest 189th Terrace,Miami,26.73945291944562::-80.18390277684574,47,54
3450 Corsa Avenue,New York,40.65039636148694::-73.78582982233868,7,3463
738 Drew Street,New York,40.84702327120304::-73.88737834187963,7,1102
Interurban Trail,Seattle,25.74865457006189::-80.33825280199386,3,423
Buccaneer Way,Miami,26.03422181518575::-80.20072936538043,35,358
11th Avenue,San Francisco,37.73693745721669::-122.3782340312043,7,2444
Ventura Canyon Avenue,Los Angeles,33.93611901270403::-118.1247028433866,48,2859
18-21 130th Street,New York,40.71777055893113::-73.81598712276602,7,837
Carma Drive,Miami,26.33894589498459::-80.21057126719516,19,1142
Fitch Street,San Francisco,37.68028773654434::-122.4789005476186,29,1707
North Campbell Avenue,Chicago,41.93392232402735::-87.74593431591398,7,2301
203-02 115th Avenue,New York,40.69548696534464::-73.89990711592255,29,48
Divisadero Street,San Francisco,37.80722963316991::-122.3988704790053,7,147
Village Fair Drive,Dallas,32.77124117846084::-96.83307930319712,7,456
48th Avenue,San Francisco,37.71574553705084::-122.3976954157855,7,1470
Service Area Road,Los Angeles,34.20352168689325::-118.8346945219951,7,1947
West Sunset Playground,San Francisco,37.75442284614016::-122.4600472362236,44,3011
Guy R. Brewer Boulevard,New York,40.73087171138179::-73.90479801533648,7,1875
115-45 174th Street,New York,40.69376714546947::-73.7935538830144,9,3453
,Miami,25.66146253792622::-80.36146175747078,7,3222
West Palmetto Park Road,Seattle,47.63415836710313::-122.3245038743978,35,3418
Cherrywood Avenue,Dallas,32.89927388492507::-96.78284088140911,49,744
738 Drew Street,New York,40.76430877021448::-73.81258799675322,27,217
15th Avenue,San Francisco,37.67928673609392::-122.4521061533313,7,1101
Muni N,San Francisco,37.75331054786539::-122.4807099734662,16,1467
West Brownlee Avenue,Dallas,32.77004920807722::-96.7900704190633,4,537
Trinity Levee Trail,Dallas,32.85255887115542::-97.21880401568269,22,2912
Lincoln Boulevard,San Francisco,37.78309191775197::-122.4456332914367,51,3672
15th Avenue East,Seattle,47.76167147437521::-122.2952087238261,30,1064
4177-4197 South Archer Avenue,Chicago,41.93808768684753::-87.77955973363014,8,1800
Manseau Street,San Francisco,37.71686175033468::-122.4382655456709,58,3325
Schwerin Street,San Francisco,37.79584950796447::-122.4146679859558,32,1519
Alviso Street,San Francisco,37.7458611470856::-122.3923104118855,5,981
Elms Terrace,Chicago,41.81925430434359::-87.67593227448704,21,2959
Edna Street,San Francisco,37.66358585550217::-122.392841959114,7,3225
Northwest 215th Street,Miami,26.7527810463116::-80.29405021566302,7,2779
Cement Plant Road,Dallas,32.88710874034678::-96.96945549264642,25,1078
Albertson Motorway,Los Angeles,34.21512189874556::-118.543808205581,7,2851
County Road 12,Denver,39.67826614929251::-104.8495435623918,7,105
Inverness Drive,San Francisco,37.77867370944401::-122.4857400529456,12,3326
West Arthur Avenue,Chicago,41.81980523148525::-87.67706967548142,15,1264
North Osceola Avenue,Chicago,41.95919491620764::-87.68335713903258,36,1813
Pinto Avenue,San Francisco,37.73595422175779::-122.4176887356079,35,908
116th Avenue,New York,40.72669189195211::-73.86894886477343,9,498
Ranch Trail,Dallas,32.78154551317945::-96.79963940954477,22,826
46th Avenue,San Francisco,37.78521155338544::-122.4581633962361,7,2727
1220 Noe Street,San Francisco,37.75105696765262::-122.4561468485815,32,1291
North Garland Avenue,Dallas,32.75306732884276::-96.86318041974592,7,3626
Skyline Cover Marina,New York,40.72665202214618::-73.91959475149558,7,3321
West Diversey Avenue,Chicago,41.84816883816777::-87.76559417345258,36,2822
Norfeld Boulevard,New York,40.68295450202871::-73.72175791351893,49,1278
1934-1938 West Estes Avenue,Chicago,41.97281442149715::-87.6990362361062,29,378
Flatbush Avenue,New York,40.72693434107222::-73.72450049589902,18,644
Bulldog Motorway,Los Angeles,33.93175201393161::-118.0142064516796,7,2000
East 29th Street,Los Angeles,33.77910427816567::-118.2558726146672,44,1241
El Clair Ranch Road,Miami,26.66858994710647::-80.21993093943121,7,2046
47th Avenue,San Francisco,37.76337731805762::-122.4918989812019,2,2978
Backbone Trail,Los Angeles,34.25149648594609::-118.875046725169,17,2597
Dorantes Avenue,San Francisco,37.80167349759154::-122.4182784274817,40,1894
Southwest 105th Street,Miami,26.15816098663566::-80.10732150396331,11,356
Detroit Avenue Southwest,Seattle,47.6729078999545::-122.32730043612,26,1508
Education Building,New York,40.71866804284162::-73.93357000972389,40,2907
83rd Avenue West,Seattle,47.31048388769526::-122.2179543465167,27,1365
Harris Court,San Francisco,37.65738154608979::-122.407554578661,51,1536
1855 South Kilbourn Avenue,Chicago,41.88954576699475::-87.68906613346861,48,1008
30th Avenue,San Francisco,37.64673870396231::-122.4090286471606,47,3402
Valley Freeway,Seattle,47.77796125302459::-122.3244817489401,35,2701
Russell Avenue,New York,40.71704299751893::-73.73967192844437,28,2023
3365 North Central Park Avenue,Chicago,41.88797842185992::-87.64345396652278,7,519
South Halsted Street,Chicago,41.98194378962405::-87.68295066802217,31,904
Southwest 117th Avenue,Miami,26.65222137433047::-80.14407438840053,7,1985
Angels Drive,Dallas,32.85951175766976::-96.86170361632539,24,364
6004 30th Avenue Southwest,Seattle,47.67566546691663::-122.1959658593192,7,2058
Airline Road,Dallas,32.95126106272266::-96.76839016997999,7,3709
Las Llajas Canyon Trail,Los Angeles,34.24761792506467::-119.0859727393569,34,3006
James Lick Freeway,San Francisco,37.79802493500183::-122.4226934121928,7,2420
Avenue P,New York,40.74032872913852::-73.70258899584408,7,1688
Moonglow Drive,Dallas,32.70382832417666::-96.80425926271379,2,410
